product,hundred energy (kcal),hundred protein (g),hundred total fat (g),hundred saturated fat (g),hundred trans fat (g),hundred carbohydrate (g),hundred dietary fiber (g),hundred sugars (g),hundred sodium (mg),per serve,serve energy (kcal),serve protein (g),serve total fat (g),serve saturated fat (g),serve trans fat (g),serve carbohydrate (g),serve dietary fiber (g),serve sugars (g),serve sodium (mg)
BP_478970,,,,,,,,,,,,,,,,,,,
BP_479413,0,0,0,0,0,0,0,0,39122,,,,,,,,,,
BP_479415,312,13,16.8,2.2,0,55,27.8,7.2,33,,,,,,,,,,
BP_479418,355,6.5,0.5,0,0,81.2,0,0,0,,,,,,,,,,
BP_480937,0,0,0,0,0,0,,0,5,,,,,,,,,,
BP_481004,358,5.9,1.1,0,10,82.2,1,0,0,,,,,,,,,,
BP_481173,,,,,,,,,,,,,,,,,,,
BP_481181,,,,,,,,,,20.7g,36,0,0,0,0,8.9,0,7.9,828
BP_482199,,,,,,,,,,,,,,,,,,,
BP_483128,,,,,,,,,,1g,3,0,0.1,0.1,0,0.4,0,0.3,144
BP_483310,,,,,,,,,,150g,42,0,0,0,0,13.2,5,7.8,79
BP_483358,0,0,0,0,0,0,,0,1.3,,,,,,,,,,
BP_483512,614,7.3,44.9,21.4,0.2,45.2,,30,45,,,,,,,,,,
BP_484064,360,6.61,0.58,0,0,79.34,,0.3,0,,,,,,,,,,
BP_484065,360,6.61,0.58,0,0,79.34,,0.3,0,,,,,,,,,,
BP_484312,,,,,,,,,,100 g,355,5.9,0.3,0.2,0,82.3,2.1,0,1.5
BP_485144,18,0,0,0,0,4.6,,3.2,21,,,,,,,,,,
BP_485872,,,,,,,,,,30g,100,4,0,0,0,22,4,0,10
BP_486015,,,,,,,,,,1g,2.59,0.21,0.008,0.008,0,0.42,,0,0.37
BP_486236,180,9.8,7.5,2.8,0,18.3,,0.5,601,,,,,,,,,,
BP_486254,354,4.4,0.4,0,0,83.1,,67.3,26,,,,,,,,,,
BP_486726,252,0,0,0,0,62.1,,15,21,,,,,,,,,,
BP_486727,252,0,0,0,0,62.1,,58.9,21,,,,,,,,,,
BP_486728,,,,,,,,,,15ml,2,0,0,0,0,0,,0,10
BP_486729,,,,,,,,,,15ml,7,0.3,0,0,0,0.7,,0.1,139
BP_487772,400,0.2,0,0,0,100,,100,0,,,,,,,,,,
BP_488184,254,11.8,1.4,0,0,48.5,,0,7,,,,,,,,,,
BP_488186,225,12.3,1.3,0,0,40.9,,0,7,,,,,,,,,,
BP_488187,154,9.9,1.5,0,0,25.3,,0,0,,,,,,,,,,
BP_488739,303,6,4.9,1.8,0,57.7,,33,209,,,,,,,,,,
BP_488766,0,0,0,0,0,0,,0,39200,,,,,,,,,,
BP_488805,,,,,,,,,,90.5g,315,11.5,6.9,3.2,0,51.7,,12.6,1584
BP_490052,109,24,1,0,0,0,0,0,162,,,,,,,,,,
BP_490053,161,24,7,1.8,0,0,0,0,480,,,,,,,,,,
BP_490381,,,,,,,,,,16g,5,0,0,0,0,1,0,1,190
BP_490647,351,12.9,1.4,0.4,0,74.5,2.9,2,0,,,,,,,,,,
BP_490648,353,13.1,1.6,0.4,0,74.8,3.2,1.9,0,,,,,,,,,,
BP_490650,387,12.7,1.6,0.4,0,83.8,3.4,1.9,0,,,,,,,,,,
BP_490654,40,2,3.3,0.6,0,0.7,0,0,757,,,,,,,,,,
BP_490655,54,1.8,4.7,1.1,0,1.2,0,0.4,735,,,,,,,,,,
BP_490656,341,19.1,25,1.1,0,38.4,28.6,3.1,218,,,,,,,,,,
BP_490657,354,0.7,0.4,0,0,87,0,0,13,,,,,,,,,,
BP_490685,161,24,7,1.8,0,0,0,0,480,,,,,,,,,,
BP_490720,42,0,0,0,0,10.3,0,10,8,,,,,,,,,,
BP_490731,15,0.7,0.8,0,0,1.2,,0,465,250 毫升 ml,37,1.8,2,0,0,3,,0,1163
BP_490967,104,2.8,5.4,1.1,0,11.1,,7.2,295,,,,,,,,,,
BP_491516,30,2.8,0.8,0.1,0,1.6,2.7,1.5,140,,,,,,,,,,
BP_491782,44,1,1.5,0,0,6.7,0,2.1,258,190g,84,1.9,2.9,0.9,0,12.7,1.3,4,490
BP_491783,51,0.9,2.3,1,0,6.6,0,3.5,263,190g,97,1.7,4.4,1.8,0,12.5,0,6.7,500
BP_491784,50,0.9,2.1,1,0,7,0,2.6,192,190g,95,1.7,4,1.9,0,13.3,0,4.9,365
BP_491785,64,2.4,0.7,0.2,0,8.6,3.4,2.9,181,130g,83,3.1,0.9,0.3,0,11.2,4.4,3.8,235
BP_492144,,,,,,,,,,10 g,73,1.6,7.2,1.2,0.2,0.4,,0.1,16
BP_492156,30,0,0,0,0,7.4,,7.4,8,,,,,,,,,,
BP_492166,,,,,,,,,,134 g,575,11.5,18,9,0,90.5,,8,1780
BP_492308,,,,,,,,,,10 ml,12,0.9,0,0,0,2,,2,527
BP_492385,,,,,,,,,,108g,485,10.8,21.3,9.5,0,62.6,,4.6,1490
BP_492398,57,1.7,0,0,0,13.3,,11.4,6336,5ml,3,0.1,0,0,0,0.7,,0.6,317
BP_492619,,,,,,,,,,135g,435,11,18,7,0,57,,5,1770
BP_492638,,,,,,,,,,79g,205,4,1.8,0.5,0,43,,3,340
BP_492645,0,0,0,0,0,0,,0,0.65,,,,,,,,,,
BP_492717,43,3.6,2.4,0.4,0,1.7,,0.9,10,,,,,,,,,,
BP_492940,,,,,,,,,,,,,,,,,,,
BP_493590,490,9.7,22.8,12.3,0,61.6,,2.7,1500,,,,,,,,,,
BP_493724,394,0,0,0,0,98.3,,95.1,3,,,,,,,,,,
BP_493897,,,,,,,,,,100g,246,11,20,7.7,0,5.5,,0,808
BP_494014,,,,,,,,,,200 g,47,1.6,0,0,0,10.2,,6.4,1180
BP_494015,,,,,,,,,,200 g,104,3.8,6,4.2,0,8.6,,5.4,1580
BP_494016,,,,,,,,,,200 g,63,1.6,3.6,0.8,0,6,,2,1320
BP_494017,,,,,,,,,,200g,203,5,9.6,1.8,0,24.2,,16.8,2080
BP_494594,360,0.5,0.4,0,0,88.5,0,0,0,,,,,,,,,,
BP_494595,364,7.4,1.6,0.5,0,80.3,0,0,10,,,,,,,,,,
BP_494596,364,7,1.1,0.3,0,81.8,0,0,9,,,,,,,,,,
BP_494598,400,0,0,0,0,100,0,100,0,,,,,,,,,,
BP_494599,400,0,0,0,0,100,0,100,0,,,,,,,,,,
BP_494600,400,0,0,0,0,100,0,100,0,,,,,,,,,,
BP_494601,0,0,0,0,0,0,0,0,29711,,,,,,,,,,
BP_495044,,,,,,,,,,123g,45,1,0,0,0,11,2,10,290
BP_495101,342,7,1.3,0,0,76.4,,0,13,,,,,,,,,,
BP_495820,,,,,,,,,,240ml,80,0,0,0,0,19.9,0,19.2,44
BP_495909,365,4.4,22,10,,36,,27,,50 g,183,2.2,11,5,,18,,14,
BP_496031,507,11.4,25.7,7.1,0.1,57.9,,1.1,514,,,,,,,,,,
BP_496039,822,0,91.3,13.9,0,0,,0,0,15 ml,,,,,,,,,
BP_496040,822,0,91.3,15.5,0,0,,0,0,,,,,,,,,,
BP_496537,498,5.5,21.5,12.5,1,70.5,,36,591,,,,,,,,,,
BP_496556,156,3,0.6,0,0,34.7,,0,0,,,,,,,,,,
BP_496670,353,11.3,2,0.4,0,75,2.6,2.8,0,,,,,,,,,,
BP_496859,55,0.1,0,0,0,13.7,,12.2,2,,,,,,,,,,
BP_497085,356,8.6,0,0,0,76.8,,0,0,,,,,,,,,,
BP_497086,350,8.3,0.8,0.6,0,76.1,,0,0,,,,,,,,,,
BP_497190,,,,,,,,,,,,,,,,,,,
BP_497260,,,,,,,,,,150g,485,9,20,11,0,67,,2,1870
BP_497274,395,4.6,23,5,0,42,,12,170,,,,,,,,,,
BP_497409,29,0,0,0,0,6.3,,6.2,3,,,,,,,,,,
BP_497411,29,0,0,0,0,6.3,,6.2,3,,,,,,,,,,
BP_497438,33,4.4,0,0,0,3.9,0,2.4,570,,,,,,,,,,
BP_497447,33,4.4,0,0,0,3.9,0,2.4,570,,,,,,,,,,
BP_497919,0,0,0,0,0,0,0,0,38750,5g,0,0,0,0,0,0,0,0,1938
BP_497959,200,7.2,11.4,3.8,0,17.1,,2.4,227,,,,,,,,,,
BP_498066,,,,,,,,,,78g,282,9.2,6.3,2,0,47,,4.4,1817
BP_498935,,,,,,,,,,2.5g,3,0,0.1,0.1,0,0.4,0,0.4,199
BP_498938,,,,,,,,,,100 克 g,111,7.7,8.4,1.4,0,1,,1,36
BP_499107,15,0,0,0,0,3.6,,2.4,32,,,,,,,,,,
BP_499776,286,2.6,19.6,8.8,0,24.7,9.7,13.8,2440,200g,572,5.2,39.2,17.6,0,49.4,19.4,27.6,4880
BP_499777,,,,,,,,,,35g,20,0.6,0.7,0.2,0,2.8,1.7,0.9,658
BP_499832,,,,,,,,,,115g,445,12,15,8,0,65,,2,1800
BP_499857,,,,,,,,,,30 g,23,0.5,0,0,0,5.3,,4.5,435
BP_499953,358,6.1,0.9,0.29,0,77.6,,0.12,1,,,,,,,,,,
BP_59584,,,,,,,,,,,120,17,3,0.5,0,5,0,0,400
BP_67748,96,14.6,1.1,0,0,7,,1.5,295,,,,,,,,,,
BP_68320,291,10,7.2,1.8,0,48,1.5,12.8,231,,,,,,,,,,
BP_68321,279,10.1,6.2,3.6,0,48.5,2.9,14.3,301,,,,,,,,,,
BP_68322,268,11.9,5.5,2.2,0,46.1,3.4,3.7,400,,,,,,,,,,
BP_68360,280,9.9,7.7,5.8,0,45.3,2.5,9.9,288,,,,,,,,,,
BP_68364,262,9.9,3.6,0.6,0,49.7,2.1,2.9,471,,,,,,,,,,
BP_68366,286,9.2,5.8,2.3,0,52.6,3.3,9.1,439,,,,,,,,,,
BP_69878,333,19,1.2,0,0,63.1,,0,30,,,,,,,,,,
BP_69886,341,21.6,1.42,0.37,0,62.3,,2.25,5,,,,,,,,,,
BP_69926,285,10.6,1.2,0,0,74.5,,34.2,15,,,,,,,,,,
BP_70013,344,23.4,0.5,0.1,0,63.2,,0,11,,,,,,,,,,
BP_70045,678,17,64,5.3,0,14.2,,2.7,2.5,,,,,,,,,,
BP_70069,321,8.9,2.9,0,0,52.5,,0,0,,,,,,,,,,
BP_70149,94,2.3,7.6,3.8,0,3.7,,0.8,163,,,,,,,,,,
BP_70172,91,3.8,6.5,6,0,4.3,,0,203,,,,,,,,,,
BP_71302,63,6.5,3.3,1,0,1.7,,1.7,187,,,,,,,,,,
BP_71316,39,3.1,1.4,0,0,3.3,,2,174,,,,,,,,,,
BP_71324,39,3.1,1.4,0,0,3.3,,2,174,,,,,,,,,,
BP_802532,,,,,,,,,,30 g,111,6.7,0.9,0.6,0,19.1,,10.9,78
BP_807848,,,,,,,,,,35 克 g,146,9.8,4.6,1.4,0,16.4,,14.7,109
BP_83422,,,,,,,,,,45g,72,4.4,3.5,1.2,0,5.7,,2,409
BP_83711,16,1.3,0,0,0,2.2,,1.1,194,,,,,,,,,,
BP_83824,31,5,0.6,0,0,1.5,,0.7,0,,,,,,,,,,
BP_83827,355,15.2,5.8,1,0,64.9,,0.7,0,,,,,,,,,,
BP_83835,312,19.2,0.6,0,0,55.2,,0,0,,,,,,,,,,
BP_83842,678,14,64,5.4,0,14.7,,2.7,3.5,,,,,,,,,,
BP_83846,314,22.5,1.06,0,0,54.2,,2.1,0.4,,,,,,,,,,
BP_83849,362,5.3,2.9,0.8,0,78.7,,35.4,8,,,,,,,,,,
BP_83850,77,2.3,4.2,2.9,0,7.3,,3.5,299,,,,,,,,,,
BP_83852,56,2.9,3.9,2.8,0,1.9,,1.9,153,,,,,,,,,,
BP_83854,72,3.1,6.6,4,0,0,,0,182,,,,,,,,,,
BP_83857,99,4.2,7.3,4.3,0,4,,1.2,261,,,,,,,,,,
