product,hundred energy (kcal),hundred protein (g),hundred total fat (g),hundred saturated fat (g),hundred trans fat (g),hundred carbohydrate (g),hundred dietary fiber (g),hundred sugars (g),hundred sodium (mg),per serve,serve energy (kcal),serve protein (g),serve total fat (g),serve saturated fat (g),serve trans fat (g),serve carbohydrate (g),serve dietary fiber (g),serve sugars (g),serve sodium (mg)
BP_305686,353,7,0.7,0,0,79.8,0,0,0,,,,,,,,,,
BP_305928,,,,,,,,,,15ml,120,0,14,1,0.1,0,0,0,0
BP_306666,348,6,0.8,0.4,0,79.7,0.6,0,0,,,,,,,,,,
BP_306667,348,6,0.8,0.4,0,79.7,0.6,0,0,,,,,,,,,,
BP_306668,348,6,0.8,0.4,0,79.7,0.6,0,0,,,,,,,,,,
BP_307164,815,0,92,14,0,0,0,0,0,15ml,122,0,13.8,2.1,0,0,0,0,0
BP_307214,356,10.5,1.2,0.5,0,71.9,1.7,18.4,1000,,,,,,,,,,
BP_307798,195,20,12,3.3,0,1.7,0,0,400,,,,,,,,,,
BP_307845,62,2,1.5,0.3,0,10,,9.5,10,,,,,,,,,,
BP_308737,237,5.7,20.4,7.5,0,7.9,,3.1,676,,,,,,,,,,
BP_309267,517,6.7,28,12.7,0,59.6,0,17.1,135,,,,,,,,,,
BP_309268,488,6.8,24.1,11.2,0,60.9,0,18.3,145,,,,,,,,,,
BP_310629,25.8,1.4,0.08,0.03,0,4,,3.9,316,,,,,,,,,,
BP_310630,823,0,91.5,13.9,0,0,,0,0,15ml,123,0,13.7,2.1,0,0,,0,0
BP_311730,125,5.5,6.2,4.2,0.3,11.9,,11,53,160g,201,8.8,9.9,6.7,0.5,19,,17.6,85
BP_311773,135,5,5.8,4,0.3,15.6,,14.1,51,160g,216,8,9.3,6.4,0.5,25,,22.6,82
BP_311777,118,6.1,7,4.8,0.4,7.8,,7,59,160g,189,9.8,11.2,7.7,0.6,12.5,,11.2,94
BP_311785,125,5.5,6.2,4.2,0.3,11.9,,11,53,166g,208,9.1,10,7,0.5,19.8,,18.3,88
BP_311822,118,6.1,7,4.8,0.4,7.8,,7,59,180g,213,11,12.8,8.6,0.7,14,,12.6,106
BP_314218,,,,,,,,,,,,,,,,,,,
BP_314219,,,,,,,,,,,,,,,,,,,
BP_31440,334,76.9,1.8,0.5,0,3.3,,0,22,,,,,,,,,,
BP_31445,,,,,,,,,,60g,204,12.3,1.5,0.19,0,38.3,,1,940
BP_31452,,,,,,,,,,60g,204,6,0.1,0,0,46,,1,850
BP_31465,350.1,16.5,1.37,0.4,0,67.9,,4.07,1723,,,,,,,,,,
BP_31467,,,,,,,,,,100 克 g,48,5.4,0.7,0.2,0,4.8,0.633,0.37,584
BP_31471,334,76.9,1.8,0.5,0,3.3,,0,22,,,,,,,,,,
BP_315035,,,,,,,,,,15ml,120,0,14,3,0.1,0,0,0,0
BP_315036,,,,,,,,,,15ml,120,0,14,2,0.2,0,0,0,0
BP_315037,,,,,,,,,,15ml,120,0,14,1,0,0,0,0,0
BP_315440,,,,,,,,,,45g,170,3,1,0,0,36,1,0,0
BP_315797,441,5.8,22,2.3,0,55,1.1,23,288,,,,,,,,,,
BP_317148,38,2,1.5,0.3,0,4,,3.8,20,,,,,,,,,,
BP_317231,248,8.2,15.1,5,,21.1,1.4,1.9,340,,,,,,,,,,
BP_317232,996,8.8,14.1,6.3,,20.2,1.3,1.6,370,,,,,,,,,,
BP_317502,,,,,,,,,,10 ml,27,0.7,0,0,0,5.7,,4.5,393
